Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
?|100130426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|100133144,20.4373,16.1382,13.3333,15.3523,14.0136,7.1159,22.4891,26.1199,16.6052,0,42.4077,23.2738,0,21.4961,5.753,4.4408,13.3595,33.967,5.6518,6.8497
?|100134869,37.8717,12.5759,10.7742,42.581,17.6427,2.3091,45.049,25.2546,8.665,11.9205,28.3534,13.7922,8.5204,17.5126,14.1017,4.9256,15.1277,24.7789,4.2453,3.8634
?|10357,123.0904,137.886,104.6778,146.4527,142.9621,176.8772,126.3562,97.3321,179.1987,96.9139,316.8758,131.3007,71.6893,175.6815,167.6804,219.4656,196.2868,117.0231,129.9648,115.2695
?|10431,702.0408,882.2305,954.1029,487.2101,954.7767,1586.03,634.5316,642.6318,768.7448,662.2517,779.2612,892.3301,2080.9438,741.1657,1443.5835,1312.3967,1129.666,679.868,1448.6261,1030.1306
?|136542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|155060,406.9971,182.2722,224.8493,472.9642,234.5958,75.4006,520.1525,292.9247,159.601,190.0662,193.1464,795.7754,192.0367,100.5048,133.6562,198.3471,133.1041,320.132,362.5472,128.5571
?|26823,0.5831,0.8323,0,2.3743,0,0,0,1.8026,0,0,0.8901,0.4576,0,0,0,0,0,0,0,0.6696
?|280660,0,0,0,0,0,0,0,0,0,7.2848,43.6137,0,0,0,7.7482,0,0,0,0,0
?|317712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|340602,11.0787,0,0,1.8995,5.0876,0.5236,0,0,0,19.2053,80.5518,0,0.6554,0,2.4213,0,0,0,1.5627,0
?|388795,2.3324,4.5776,0.4636,1.4246,2.2612,1.5708,3.268,1.8026,1.33,3.9735,8.0107,0,1.3108,0.4589,0.9685,1.1019,0,1.9802,13.5434,0.3348
?|390284,4.0816,2.0807,2.318,3.7989,6.2182,5.7598,2.7233,2.7039,3.99,2.649,0.8901,2.7456,0,0.9179,6.7797,2.2039,1.9646,1.3201,1.0418,1.3391
?|391343,0,0,0,0,0,0,1.0893,0,0,1.9868,1.7802,0,0,0,5.8111,0,0,0,1.0418,0
?|391714,0,0.4161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|404770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|441362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|442388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|553137,7.5802,0.8323,0,0,1.1306,23.0391,3.268,0,0,0,38.2733,0.9152,0,0,5.3269,0,0,3.3003,0,0
?|57714,3076.3848,266.7499,307.3713,853.8049,227.8123,247.1463,305.5556,892.2938,1427.7639,468.8742,304.4059,120.8078,405.0467,317.1179,793.2203,397.2452,1942.0432,912.2112,192.7334,603.6157
?|645851,23.3236,88.2231,12.0538,28.017,32.2216,10.9959,69.1721,23.434,10.6401,41.7219,46.729,15.101,0.6554,5.0482,41.1622,18.1818,6.8762,14.5215,3.1254,8.3696
?|652919,21.8426,0,0,0,0,8.9015,5.0817,1.6314,0,0,0,0.9152,0,0,0,25.449,22.8094,0,0,5.0218
?|653553,1434.4023,941.3233,1195.1785,2216.1888,810.6275,1501.2043,892.1569,628.2109,1941.1471,2705.9603,171.7846,1881.2149,2801.2453,700.3212,192.7361,86.5014,1769.6464,1238.9439,550.5925,605.9592
?|728045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|728603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|728788,0,0.4161,0,1.8995,0,0,0,0.9013,0,1.3245,0,0.4576,0,0,0.4843,0,0.4912,0.6601,0.5209,0.6696
?|729884,20.9913,94.0491,48.6787,272.0969,10.1752,37.1767,2715.6863,103.6503,84.4555,2015.2318,64.9755,27.9139,500.7373,46.3515,1235.3511,165.8402,125.7367,315.5116,221.9039,0
?|8225,685.7143,619.226,2852.573,971.5711,818.5415,548.7486,297.9303,811.1762,836.5752,611.2583,308.8563,1199.8408,1491.07,550.7113,812.1065,541.0468,703.3399,1017.8218,280.7657,512.8892
?|90288,1.1662,2.4969,0,3.324,2.2612,7.3306,3.8126,9.9144,0,7.947,14.2412,5.0337,2.6217,0,2.4213,3.8567,0.4912,1.3201,2.0836,1.3391
A1BG|1,29.5394,13.3333,20.3199,26.4357,15.2176,18.8501,48.061,69.2023,20.6284,131.1788,35.603,17.8466,84.5486,4.5893,8.3196,14.3251,175.6483,29.6172,584.0292,33.4048
A1CF|29974,0,0,0,0,0,3.6653,0,0,0,2.649,0,0,0,0,170.9443,0,0,0,0,0
A2BP1|54715,1.7493,0,0,0,4.5223,0,0,4.5065,0,0,34.713,0,0,0.4589,0,0,0,0,0,0
A2LD1|87769,106.9155,77.7486,58.4284,36.2558,56.1221,54.1261,143.4586,64.155,81.5029,140.2583,50.445,97.447,198.5384,37.8935,42.3245,517.6143,51.2819,44.7261,174.0435,137.9879
A2ML1|144568,235.5685,105.2851,61.6597,2295.4911,331.2606,114.6717,363.8344,163.1365,23.2751,4580.7947,227.4143,628.2919,1309.5199,4228.5452,65.8596,10405.5096,639.4892,151.8152,200.026,2607.2983
A2M|2,9417.8192,7202.2097,8796.3421,3873.8002,1872.1764,14396.7536,1894.7004,27560.9193,5733.6392,9642.9735,3654.1745,7392.0944,4602.8838,3228.4901,1772.8039,1349.3003,5718.0354,7294.9901,2889.8763,5463.2976
A4GALT|53947,198.8338,676.238,1124.2466,107.7941,3103.4483,1009.0062,118.7364,712.0324,469.4929,281.457,118.3801,2377.2589,327.0523,2587.8844,500.7264,2004.4077,946.9548,2733.3333,334.9394,1083.3612
A4GNT|51146,2.3324,0,0.4636,0,0,0,0,0,0.665,0,0.445,3.6608,0,0.9179,0,0,0.4912,0,0,0.6696
AAA1|404744,0.5831,0,0.4636,0.4749,0,0.5236,0.5447,0,1.995,0,0.445,0.4576,0,0,0.4843,0,0,1.3201,0,0
AAAS|8086,1065.8892,830.6284,948.5396,1129.2258,689.6552,1239.9204,802.2876,535.3763,918.3707,674.1722,1008.9008,858.9249,676.3887,679.2106,1079.4189,649.0358,649.3124,912.2112,630.2904,497.8239
AACSL|729522,4.0816,9.1552,0.9272,7.5978,10.7405,0,35.9477,0,0,7.2848,71.6511,0,0,0,24.6973,0,0,3.9604,0,0.6696
AACS|65985,699.1254,527.6737,949.9305,541.3446,603.1656,1142.528,473.3115,389.3646,504.7382,996.0265,965.7321,444.7922,2023.2672,402.9371,880.3874,830.854,1445.9725,332.0132,581.3257,968.1955
AADACL2|344752,0.5831,0,0,0,1.1306,2.0945,0.5447,0,21.2801,2.649,0,0,0,0,0,0,0.4912,0,0,0
AADACL3|126767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5209,27.4523
AADACL4|343066,0,0,0,0.4749,0,0,0,0,0,0,0,0,0,0.4589,0,0,0,0,0,0
AADAC|13,40.8163,10.8198,68.1502,192.7947,3.957,4.1889,3.268,0.9013,3481.2968,12.5828,0,6.4065,3.9325,16.5213,0.4843,0,115.4224,3.9604,0,0
AADAT|51166,404.0816,332.501,440.8901,218.9122,266.8174,263.902,438.4532,149.6169,347.1322,39.0728,294.615,367.9146,8.5204,326.7554,279.9031,35.8127,44.6955,174.2574,5.209,115.8353
AAGAB|79719,1433.2362,1960.4661,1129.8099,1381.3785,1434.1436,1113.2056,661.7647,1267.2375,1113.217,1299.3377,2265.6876,1273.5152,1650.3359,1450.2065,1731.7191,1178.5124,887.5246,1027.0627,815.2103,1395.0452
AAK1|22848,765.0146,1861.8394,1404.2652,815.3409,1892.5947,1736.8311,1183.0065,1143.7584,759.4347,1468.2119,739.6529,1021.8323,728.1665,1152.3635,1239.7094,1792.8375,2019.6464,899.0099,1968.4855,1495.1456
AAMP|14,2336.4431,2371.2027,1902.179,3968.9107,1444.8841,1730.5477,2043.573,2241.5502,3122.1945,2946.3576,2239.8754,2690.2608,3200.3932,3194.5847,2726.3923,3758.1267,2552.554,3029.0429,2611.2775,2009.374
AANAT|15,0.5831,0,1.8544,1.4246,0.5653,0,0.5447,0.9013,0,5.9603,0,0,1.9662,0,0,1.1019,1.9646,1.3201,0.5209,0.6696
AARS2|57505,529.3061,746.9039,560.8901,635.3581,564.7202,524.6623,1646.1765,511.708,528.6318,737.7285,1270.445,761.8302,682.9428,514.8279,751.046,585.1185,493.6149,644.198,536.0021,359.5213
AARSD1|80755,673.4694,680.3995,382.0121,392.7123,869.4178,366.5305,435.7298,473.1861,567.2485,460.9272,715.1758,588.4802,850.0737,436.4387,743.8257,694.7658,303.0452,538.6139,414.1164,467.6933
AARS|16,4628.5714,3916.3546,2934.1678,1681.9672,1818.5415,7035.8153,1970.5882,2136.9986,2603.4913,2007.947,2786.3818,2896.1831,2417.1719,3284.0753,1482.8087,1296.4187,4609.0373,2027.7228,1622.6071,3298.9622
AASDHPPT|60496,626.8222,977.9442,1220.1854,618.2345,495.7603,793.8004,1038.1264,703.9207,553.2835,647.0199,643.0797,476.367,502.0482,1021.0922,706.0533,613.7741,680.2554,660.066,1120.9793,719.4342
AASDH|132949,193.0029,264.253,254.9838,225.5603,117.5806,149.7539,217.8649,218.1163,205.4863,249.6689,98.3534,203.6343,166.4755,204.2221,235.8354,88.1543,187.1316,194.7195,165.1257,158.6876
AASS|10157,555.6851,28.7141,85.7673,681.4294,71.792,151.8484,813.1808,408.292,477.473,194.0397,485.9813,18.7618,51.1224,357.9624,134.1404,8.8154,58.4479,34.3234,28.1287,174.4225
AATF|26574,1703.7901,1285.8926,1402.4108,981.0684,1309.7795,2124.8298,1026.1438,1142.8571,1262.1779,1378.8079,1898.5314,1224.0938,2614.4519,1336.3928,1635.8354,2564.1873,1306.9745,1384.8185,2593.5669,1950.7867
AATK|9625,23.9067,30.3787,28.3171,72.6541,60.4862,43.46,45.7516,276.8815,15.2951,36.4238,84.5572,10.9825,32.1154,27.5356,21.7918,793.3884,72.2004,56.7657,81.2606,82.6917
ABAT|18,959.1837,1087.8069,1297.172,401.2598,904.4658,98.9632,1645.9695,888.6886,1528.8446,97.351,546.5065,792.1145,52.4332,2185.4061,536.0775,28.0992,33.3988,1517.4917,38.5467,54.9046
ABCA10|10349,20.9913,15.8136,1038.943,206.0908,84.2284,4.7125,17.9739,28.8418,402.3275,29.1391,0,86.0298,1.3108,82.1478,46.0048,2.7548,170.4322,279.868,265.6596,7.7
ABCA11P|79963,54.4898,133.1794,54.3347,225.3133,56.9361,130.4273,236.2255,127.0662,95.0424,106.2517,96.7646,44.9734,29.4544,140.6333,134,72.3747,50.9185,104.8515,48.6522,69.9933
ABCA12|26154,5.8309,10.4037,24.1076,1127.8013,422.8378,943.0307,64.2702,6.3091,97.0906,124.5033,20.4717,704.712,407.0129,44.5158,5.3269,22.0386,1401.277,26.4026,8.3344,21.761
ABCA13|154664,138.7755,23.3042,1.8544,83.1011,1.6959,3.1417,3.268,0.9013,8.6451,400.6623,76.9915,3.6608,0,10.0964,3.8741,1.1019,117.8782,3.3003,1.5627,0.6696
ABCA17P|650655,1.1662,3.7453,2.7816,63.6317,1.6959,0.5236,7.0806,3.6052,0,6.6225,18.2466,1.8304,5.2433,0.4589,0.9685,0,13.7525,6.6007,6.7717,0.3348
ABCA1|19,730.0292,205.9925,900.3013,617.3228,1150.9327,2564.1324,1035.8769,1395.205,192.1596,1635.7483,492.6435,749.9508,843.5196,94.0753,683.2833,815.427,1016.1788,645.5446,1209.5221,1506.1567
ABCA2|20,317.7843,753.6413,629.1145,526.6238,2672.6964,279.0868,712.4183,1043.7134,516.7082,393.3775,362.7058,1268.4815,1306.8982,227.1684,103.1477,1414.3251,732.3183,1565.6766,1265.2689,906.5952
ABCA3|21,43.7318,267.5822,136.3004,57.9334,20.9158,641.952,57.1895,271.2934,17.2901,131.1258,376.947,52.6246,107.4881,26.6177,15.0121,23.6915,211.6896,82.5083,1098.0596,53.2307
ABCA4|24,184.2566,2.4969,3.2452,3.324,0.5653,88.4909,39.2157,74.8085,43.2253,1.9868,2.6702,8.2369,3.2771,4.1303,9.6852,3.3058,126.7191,52.1452,13.5434,64.9481
ABCA5|23461,439.6501,161.4648,481.2239,1505.7927,663.6518,259.7131,324.0741,375.845,444.2228,388.0795,12.016,216.9049,70.1294,422.212,140.4358,78.2369,492.1415,961.0561,285.9747,129.8962
ABCA6|23460,60.0583,5.4099,442.2809,75.9782,660.26,8.9015,23.4205,114.466,2719.867,44.3709,2.6702,7.3217,5.8987,2.7536,538.9831,1.1019,25.0491,9.901,17.7106,15.0653
ABCA7|10347,511.9534,418.6434,375.9852,876.5984,470.8875,83.2548,648.1481,831.005,526.6833,1468.8742,894.081,226.9722,561.0356,670.4911,199.0315,504.1322,377.7014,1407.2607,1363.7192,376.2973
ABCA8|10351,8.1633,60.3412,57.4873,12.8213,1.1306,58.1213,7.0806,295.6287,99.7506,7.947,0.445,28.3715,0,7.8017,160.2906,0.551,3.9293,21.7822,8.8553,0.3348
ABCA9|10350,69.3878,6.2422,98.7483,33.7153,202.9395,3.1417,23.4205,37.8549,553.9485,52.9801,0.8901,6.8641,3.2771,0.4589,9.6852,1.1019,6.8762,4.6205,43.2348,7.0305
ABCB10|23456,428.5714,583.8535,573.4817,477.238,572.6399,593.2558,363.2898,303.7404,488.7781,483.4437,256.7868,427.4032,308.0452,365.3052,250.3632,580.7163,717.5835,316.8317,756.3485,520.5892
ABCB11|8647,1.7493,0,12.5174,0.9497,2.2612,0,0,3.6052,1.33,2.649,0,0.9152,3.2771,27.0766,0.9685,2.7548,11.7878,52.8053,0.5209,0
ABCB1|5243,101.4577,59.9251,62.5869,47.9612,9.0447,73.8297,7.6253,239.7476,48.5453,80.1325,12.4611,55.8278,95.0352,15.1446,9.6852,29.2011,3.9293,23.1023,8.3344,38.1654
ABCB4|5244,16.3265,4.5776,6.0269,16.6202,3.3917,12.5668,16.8845,142.4065,5.32,10.596,27.5923,5.9489,11.7975,3.2125,2.4213,0.551,8.8409,7.9208,1.5627,27.7871
ABCB5|340273,0.5831,0,0,1.4246,0,2.6181,1.0893,10.8157,0,0.6623,0,0.9152,0,0,0,0,0,0,1.0418,0
ABCB6|10058,436.1166,271.0362,621.1683,937.4379,300.9836,579.4691,533.2625,540.667,542.8828,1140.053,404.8821,367.1641,684.2536,765.3006,738.862,239.3444,1146.11,963.9736,413.2048,597.6565
ABCB7|22,446.0641,305.8677,262.4015,435.45,193.8949,192.1667,536.4924,322.6679,259.3516,477.4834,531.3752,456.2324,393.2492,318.4947,237.7724,266.6667,377.7014,337.2937,382.8624,471.7107
ABCB8|11194,531.1953,470.2455,713.0274,719.4185,744.4884,448.2145,906.3181,478.594,481.463,1211.2583,860.7032,720.2705,2241.5206,634.6948,660.5327,1138.843,1221.5128,763.6964,1215.7833,621.3592
ABCB9|23457,225.1837,330.3412,293.7691,264.4563,320.6105,174.0235,300.0817,113.2943,68.9077,559.2384,144.526,196.2714,228.6023,80.8949,162.8281,246.7052,90.2259,123.2673,155.9422,228.1788
ABCC10|89845,851.895,796.9205,650.904,943.5541,697.004,627.8144,1677.5599,717.4403,751.4547,507.947,1748.5536,701.0511,561.691,619.5503,623.7288,906.8871,494.1061,1076.5677,941.7893,1136.9267
ABCC11|85320,2.3324,2.0807,18.0807,7.5978,1.6959,19.8974,3.268,7.2105,3.325,3.3113,0.445,4.5761,7.865,0.4589,7.2639,0,4.9116,1.3201,1.0418,1.0044
ABCC12|94160,0,0,0,0,0,0,0,0,0,0,0.445,0,0,0,0,0,0,0,0,0
ABCC13|150000,4.0816,7.4906,8.8085,2.3743,0,0,4.902,0,5.32,3.3113,0,0,0,4.1303,0.4843,0.551,0,0,0,0
ABCC1|4363,1609.9125,1537.2451,1538.7112,2365.296,1910.684,990.156,1316.4488,1729.6079,1320.6983,695.3642,2567.8683,1722.4259,598.3942,2001.8357,2307.9903,1054.5455,1353.6346,1323.4323,1873.1606,1409.4409
ABCC2|1244,8.1633,3.7453,6.9541,2.8492,2.2612,14.6612,0.5447,18.9274,0,7.2848,0,5.0337,1.9662,2.2946,0,1.1019,16.2083,5.9406,21.8778,4.3522
ABCC3|8714,190.0875,2401.5814,3624.4784,1028.0799,133.4087,260.2367,169.39,1177.1068,1603.99,155.6291,1789.4971,7297.4296,464.0341,2088.1138,130.7506,1210.4683,1507.3674,986.7987,2019.5338,484.4325
ABCC4|10257,1264.723,404.0782,430.2272,460.6178,65.5738,74.877,649.2375,863.452,179.5511,68.2119,449.0432,569.7184,43.2574,700.7802,1368.523,26.9972,295.6778,559.736,216.174,273.8534
ABCC5|10057,11016.9096,3059.5089,4169.6801,2799.7963,1362.9169,455.5451,2652.5054,1878.3236,1233.5827,1484.106,667.1117,2254.1631,330.9848,3941.2575,2031.477,230.303,1341.3556,2832.3432,1165.2559,950.1172
ABCC6P1|653190,1.1662,0.4161,0,0,0,1.5708,0,0.9013,0,0,0,0.4576,0,0,0,0,0,0,0,0
ABCC6P2|730013,8.7464,0.4161,2.318,0,6.7835,1.0472,8.7146,1.8026,0,10.596,0.8901,0.4576,9.8312,0.4589,1.4528,9.3664,3.4381,0,5.209,11.3827
ABCC6|368,14.5773,2.4969,3.7089,2.8492,7.9141,2.0945,14.1612,3.6052,3.325,50.9934,2.6702,3.6608,57.0211,1.8357,4.8426,2.2039,3.9293,7.2607,7.8135,14.0609
ABCC8|6833,0,0,1.3908,0,0,0,0,3.6052,0,0.6623,0,0.4576,0.6554,0.9179,0,0,0,1.3201,3.1254,0
ABCC9|10060,67.0554,14.5651,24.1076,37.9891,29.3951,169.1277,60.4575,139.7026,22.6101,62.2517,38.2733,46.6757,8.5204,5.5071,8.2324,6.0606,39.7839,42.9043,27.6078,65.6177
ABCD1|215,450.7289,354.5568,611.4975,516.6517,176.3708,1421.0912,575.1634,557.909,270.6567,431.1258,654.6506,285.088,473.8653,291.877,230.9927,360.8815,248.0354,606.6007,404.2193,416.4714
ABCD2|225,24.4898,0.8323,1.8544,3.7989,0,4.1889,35.9477,54.0784,7.98,18.543,0.445,0.4576,22.9395,0.9179,3.3898,12.1212,2.4558,0,3.1254,15.0653
ABCD3|5825,980.758,6202.6633,3680.5749,1190.0084,698.6998,3405.0686,2018.5185,2258.6751,1655.1953,1174.1722,2869.6039,5545.2594,438.4729,1936.6682,7118.6441,869.4215,1006.8762,1029.703,1584.5813,1149.3137
ABCD4|5826,535.8601,389.5131,871.5809,473.914,427.3601,345.0623,458.6057,580.4416,802.66,485.4305,1009.3458,593.5139,642.9625,494.2634,515.7385,312.9477,650.7859,719.4719,340.1485,687.3117
ABCE1|6059,1518.3673,2714.1074,1516.458,1896.6056,1612.2103,1282.8568,2964.5969,1589.9054,1727.0158,1238.4106,1415.6653,1446.4899,1527.7732,2023.4052,1216.4649,1564.7383,2367.387,1364.3564,1964.3183,1395.7148
ABCF1|23,2193.586,2246.7749,2012.0538,1911.3263,1739.9661,3474.1858,3801.1983,2053.1771,1742.9759,2714.5695,1574.0988,2185.5223,4069.474,1918.7701,3100.7264,2425.8953,2235.2652,2207.9208,1649.694,2415.8018
ABCF2|10061,1725.3644,1920.516,1073.2499,1398.9484,1186.5461,1117.3945,2168.3007,1141.9558,1071.9867,2925.1656,1957.2764,1325.6822,2320.8258,1212.4828,1736.5617,1667.2176,2097.2495,1276.5677,3636.411,1828.9253
ABCF3|55324,1160.9329,1287.5572,1005.0997,1549.9551,1302.4308,1144.0989,2092.5926,1016.6742,1444.389,1607.2848,1113.9297,1407.5935,2529.2479,939.8807,1540.4358,904.1322,1353.1434,1417.8218,1122.0211,1869.769
ABCG1|9619,604.0816,252.6009,2550.3013,584.0823,2221.5941,512.6191,611.1111,1269.0401,740.8146,1654.9669,223.409,643.3929,1023.1034,164.7545,67.7966,1576.3085,268.664,1148.5149,180.7527,514.2283
ABCG2|9429,43.1487,44.1115,115.4381,36.5645,11.8711,1035.1869,10.8932,164.9392,38.5702,35.0993,17.3565,119.4349,5.2433,34.8784,12.5908,7.1625,16.6994,31.6832,3011.3296,114.8309
ABCG4|64137,1.7493,6.6583,1.3908,1.8995,3.957,9.4251,2.1786,2.7039,1.33,4.6358,6.2305,3.6608,1.3108,1.3768,133.6562,1.1019,0.4912,13.8614,2.6045,5.6913
ABCG5|64240,2.9155,0.8323,1.8544,0.9497,2.8265,2.0945,1.0893,0,0,7.947,1.3351,0.4576,0.6554,0,9.6852,0,2.4558,1.3201,0,0.3348
ABCG8|64241,0.5831,0.4161,0,0.9497,0,0,0.5447,0,0,0,0.445,0,0,0,6.2954,0,0.9823,1.9802,0,0.3348
ABHD10|55347,683.3819,650.0208,587.8535,769.754,699.8304,689.601,709.695,473.1861,605.8188,739.0728,773.0307,732.1683,739.3085,538.7793,653.753,562.5344,494.5972,570.297,805.8341,294.61
ABHD11|83451,590.6706,923.429,924.8957,440.6735,452.7982,2795.0571,513.0719,715.6377,809.9751,1145.6954,1200.267,2292.6019,2667.5406,927.0307,1521.0654,808.8154,1403.2417,1488.4488,1678.3435,284.5665
ABHD12B|145447,5.8309,1.6646,0,1.4246,2.2612,7.3306,5.4466,1.8026,1.995,0.6623,1.7802,0,0,0.9179,0,2.2039,2.947,3.3003,0,1.6739
ABHD12|26090,2588.3382,2561.7978,3420.955,1522.413,2551.1588,3728.6627,3508.7146,2717.4403,2441.8953,1931.1258,2053.8496,4635.998,4270.6865,1854.5204,4754.9637,3388.9807,1267.1906,2982.1782,1173.0694,1076.3308
ABHD13|84945,664.1399,435.7054,364.395,336.2035,589.5986,229.3434,748.366,632.7174,384.3724,312.5828,229.1945,300.6466,195.9692,426.8013,745.2785,602.2039,321.2181,472.6073,330.7722,491.1282
ABHD14A|25864,207.5802,277.5697,441.8173,283.0188,277.5579,131.4274,514.1612,253.123,490.7731,216.5563,663.2221,259.4621,304.1127,330.927,390.5424,312.9477,97.3527,662.0462,541.159,315.4235
ABHD14B|84836,700.2915,1963.7953,3012.5174,2801.2209,1001.6959,506.8594,1132.8976,1433.078,1284.788,1479.4702,919.0031,1866.5715,2358.8399,1441.4869,636.8039,1233.0579,977.8978,1903.6304,2502.4092,903.5822
ABHD15|116236,445.481,732.0017,614.2791,403.1593,544.9406,469.6827,936.2745,563.3168,489.4431,268.2119,775.2559,211.4136,228.0845,446.994,1260.5327,810.4683,318.7623,448.1848,728.2198,434.2149
ABHD1|84696,3.4985,4.1615,2.7816,5.2235,7.3488,2.0945,2.7233,5.4078,1.33,19.2053,10.6809,1.8304,6.5542,0.9179,1.4528,2.2039,9.8232,0.6601,14.5852,2.0087
ABHD2|11057,3096.793,1803.5789,5696.8011,7943.9946,7209.723,921.0389,1283.2244,2429.9234,2833.5827,1596.0265,2166.4441,2945.1469,933.3115,1808.6278,1218.8862,2738.843,1863.4578,1054.1254,723.0108,2035.8219
ABHD3|171586,618.6589,334.1656,604.5433,179.9733,610.5144,395.853,417.2113,354.2136,444.2228,559.6026,480.1958,337.7126,245.1253,442.8637,614.0436,543.2507,291.7485,130.6931,827.7119,843.3211
ABHD4|63874,1400.5831,555.5556,738.5257,572.6856,576.5969,3879.9874,413.9434,547.0933,905.0707,1135.0993,803.7383,966.0045,344.0931,813.676,1621.3075,445.73,631.1395,429.703,171.8974,583.5286
ABHD5|51099,1862.3907,1202.6633,1270.2828,826.2628,2143.0187,1010.0534,751.0893,930.1487,1686.4505,1281.457,470.85,953.6492,639.03,1019.2749,891.5254,637.4656,470.5305,788.7789,622.9978,691.3291
ABHD6|57406,102.0408,183.1045,234.1215,160.9788,228.3776,401.0891,329.5207,195.5836,67.1654,109.9338,358.7005,140.9424,75.3728,109.2244,124.4552,36.9146,131.6306,126.7327,228.1547,292.2665
ABHD8|79575,176.6764,273.4082,277.7005,552.7413,319.9548,188.5014,336.0566,216.3137,293.2668,591.3907,408.0997,244.8188,334.9173,193.2079,248.4262,239.1185,128.6837,382.1782,222.4248,231.001
ABI1|10006,2476.4781,1488.6975,1553.1618,1233.8288,1863.0695,1294.4706,1552.7614,1910.7706,2057.9285,2235.6821,3709.9199,1466.5468,1057.1129,1726.48,1661.4286,1610.876,1307.058,1291.4389,1469.832,1328.1721
ABI2|10152,713.7026,569.7045,596.1984,1426.4905,396.8344,613.6768,583.878,927.4448,717.5395,602.649,748.1086,685.4925,561.691,805.8743,429.54,546.0055,1224.9509,947.1947,518.2967,634.081
ABI3BP|25890,393.586,50.3537,45.8971,81.6766,33.3522,102.6285,24.5098,2069.4006,106.4007,321.1921,17.8015,101.1307,38.0141,13.3089,15.9806,8.8154,61.3949,48.1848,23.4406,68.2959
ABI3|51225,214.5773,62.8381,66.7594,55.0842,36.7439,271.7562,38.671,401.0816,150.2909,356.2914,72.9862,78.2505,930.0344,55.0711,41.1622,115.1515,188.6051,131.3531,53.1319,380.6495
ABL1|25,1304.3732,1446.5252,912.8419,1636.3803,1612.7756,1464.5513,1205.8824,2246.0568,778.0549,1097.351,1685.8033,1168.7236,828.445,619.5503,1193.2203,988.4298,3677.3084,730.033,1812.2151,2618.0114
ABL2|27,1047.2303,712.0266,482.6147,586.9315,494.6297,1268.7192,858.9325,1050.9238,498.0881,247.0199,515.3538,372.9482,355.8905,308.8573,517.6755,1290.9091,1494.5972,633.6634,1053.783,1535.6545
ABLIM1|3983,3828.5714,1266.7499,1422.3459,1766.4929,326.7383,2035.2917,798.4749,4685.8945,3392.8512,2256.2914,1303.0708,2374.5132,840.8979,3413.0335,768.523,152.6171,2050.5894,1670.6271,84.386,1087.3786
ABLIM2|84448,7.5802,38.2855,13.9082,51.2853,3.3917,17.2793,7.0806,33.3484,9.3101,19.2053,8.4557,17.389,232.6725,13.3089,3.8741,7.1625,75.1473,42.9043,29.6914,122.8658
ABLIM3|22885,76.3848,717.4365,1587.8535,44.6372,486.7157,224.1072,80.0654,1001.352,1161.7623,192.053,70.316,592.5987,420.7767,1278.5682,412.1065,2168.0441,111.002,1070.6271,410.991,604.2852
ABO|28,198.2507,0.8323,299.9536,51.2853,191.0684,16.2321,0.5447,111.7621,0,429.1391,7.5656,192.1942,0,207.8935,1.4528,162.5344,201.8664,363.0363,5.7299,18.7479
ABP1|26,59.4752,10.8198,68.6138,347.1254,10.7405,7.8542,6.5359,15.3222,13.3001,11.2583,15.5763,2.288,49.8116,1.3768,6.7797,3.8567,44.2043,33.0033,2.6045,13.7261
ABRA|137735,1.7493,0,1.3908,0.9497,1.6959,1.5708,0,0,0.665,1.9868,0.445,0.9152,0.6554,0,0.4843,1.1019,0,3.9604,0,0.6696
ABR|29,1093.2945,2224.303,1253.1293,1487.2731,1414.9237,793.2768,1180.2832,2570.5273,1409.8088,3758.2781,1520.2492,2295.8051,947.7306,2133.0886,367.0702,2871.6253,1546.169,3231.6832,2111.2124,1330.4319
ABT1|29777,779.5918,928.839,913.7691,967.7722,849.0673,902.7123,1991.8301,803.9658,976.8911,635.7616,402.3142,858.0097,1506.1445,838.458,1011.138,933.3333,652.7505,963.6964,857.4033,810.5122
